date,open,close,volume,cap,open_change,volume_change,cap_change
"Jul 06, 2018",474.36,474.01,1627609984,47652424064,0.01513,-0.10992,-0.00064
"Jul 05, 2018",467.29,474.41,1828610048,47682968020,0.00677,0.17992,0.01539
"Jul 04, 2018",464.15,467.32,1549769984,46960391871,-0.02364,-0.07968,0.00693
"Jul 03, 2018",475.39,464.2,1683939968,46637067239,0.04753,0.03577,-0.02326
"Jul 02, 2018",453.82,475.35,1625789952,47747743959,-0.00312,0.07545,0.04742
"Jul 01, 2018",455.24,453.92,1511730048,45585861718,0.04363,0.02425,-0.00257
"Jun 30, 2018",436.21,455.18,1475939968,45703302056,0.03223,-0.05661,0.04418
"Jun 29, 2018",422.59,436.01,1564499968,43769409548,-0.04454,0.1497,0.03251
"Jun 28, 2018",442.29,422.36,1360790016,42391125054,0.02325,-0.00595,-0.04502
"Jun 27, 2018",432.24,442.36,1368940032,44389430889,-0.06184,0.00913,0.02238
"Jun 26, 2018",460.73,432.77,1356560000,43417898248,0.01051,-0.66153,-0.05963
"Jun 25, 2018",455.94,460.31,4007950080,46171165114,-0.03966,0.60924,0.00597
"Jun 24, 2018",474.77,457.67,2490579968,45897156207,0.01823,0.50818,-0.03531
"Jun 23, 2018",466.27,474.52,1651379968,47577076102,-0.11556,-0.25815,0.01889
"Jun 22, 2018",527.19,465.82,2226030080,46694859628,-0.01726,0.52252,-0.11653
"Jun 21, 2018",536.45,527.37,1462070016,52853921455,-0.00383,-0.08408,-0.0164
"Jun 20, 2018",538.51,536.27,1596290048,53735032875,0.03755,-0.07546,-0.00293
"Jun 19, 2018",519.02,537.96,1726569984,53893191559,0.03933,0.1405,0.03696
"Jun 18, 2018",499.38,518.89,1513869952,51972519171,-0.00016,0.19686,0.03707
"Jun 17, 2018",499.46,500.45,1264870016,50114921288,0.01845,-0.03747,0.00182
"Jun 16, 2018",490.41,499.64,1314109952,50024018701,-0.05777,-0.27328,0.0178
"Jun 15, 2018",520.48,491,1808269952,49149084090,0.08801,-0.26453,-0.0551
"Jun 14, 2018",478.38,519.74,2458650112,52015066663,-0.03944,0.18197,0.0887
"Jun 13, 2018",498.02,477.49,2080130048,47777150787,-0.06512,0.07625,-0.03875
"Jun 12, 2018",532.71,496.84,1932760064,49702985162,0.01496,-0.0249,-0.06814
"Jun 11, 2018",524.86,533.28,1982119936,53337466294,-0.1169,-0.1131,0.01314
"Jun 10, 2018",594.34,526.48,2234880000,52645885461,-0.01093,0.47098,-0.11877
"Jun 09, 2018",600.91,597.56,1519309952,59741701633,-0.00748,-0.07234,-0.00564
"Jun 08, 2018",605.44,601.08,1637779968,60080608858,-0.0037,-0.12891,-0.00659
"Jun 07, 2018",607.69,605.19,1880140032,60478879395,-0.00421,0.07037,-0.00298
"Jun 06, 2018",610.26,607.12,1756530048,60659842641,0.0284,-0.04757,-0.00337
"Jun 05, 2018",593.41,609.3,1844269952,60864980395,-0.04202,-0.03108,0.02773
"Jun 04, 2018",619.44,592.98,1903430016,59222873880,0.04766,0.03868,-0.04078
"Jun 03, 2018",591.26,618.33,1832550016,61740821846,0.01866,-0.02544,0.04502
"Jun 02, 2018",580.43,591.81,1880390016,59080880117,0.00304,-0.03366,0.02049
"Jun 01, 2018",578.67,580.04,1945890048,57894350583,0.03611,-0.01972,0.00436
"May 31, 2018",558.5,577.65,1985040000,57643138807,-0.0147,-0.03356,0.03248
